date,snapshot_date,membership_code
2001-10-31,2001-10-24,EKDKQ
2001-10-31,2001-10-24,ENRNQ
2001-10-31,2001-10-24,FMCC
2001-10-31,2001-10-24,FNMA
2001-10-31,2001-10-24,INCLF
2001-10-31,2001-10-24,LEHMQ
2001-10-31,2001-10-24,MTLQQ
2001-10-31,2001-10-24,RDS.A
2001-10-31,2001-10-24,RSHCQ
2001-10-31,2001-10-24,UAWGQ
2001-10-31,2001-10-24,VSTNQ
2001-10-31,2001-10-24,WAMUQ
2001-10-31,2001-10-24,WCOEQ
2001-10-31,2001-10-24,WNDXQ
2001-11-30,2001-11-30,AABA
2001-11-30,2001-11-30,AAMRQ
2001-11-30,2001-11-30,ABKFQ
2001-11-30,2001-11-30,BF.B
2001-11-30,2001-11-30,CCTYQ
2001-11-30,2001-11-30,COC.B
2001-11-30,2001-11-30,CPNLQ
2001-11-30,2001-11-30,DALRQ
2001-11-30,2001-11-30,DCNAQ
2001-11-30,2001-11-30,DPHIQ
2001-11-30,2001-11-30,EKDKQ
2001-11-30,2001-11-30,FMCC
2001-11-30,2001-11-30,FNMA
2001-11-30,2001-11-30,INCLF
2001-11-30,2001-11-30,LEHMQ
2001-11-30,2001-11-30,MTLQQ
2001-11-30,2001-11-30,RDS.A
2001-11-30,2001-11-30,RSHCQ
2001-11-30,2001-11-30,UAWGQ
2001-11-30,2001-11-30,VSTNQ
2001-11-30,2001-11-30,WAMUQ
2001-11-30,2001-11-30,WCOEQ
2001-11-30,2001-11-30,WNDXQ
2001-12-31,2001-12-24,AABA
2001-12-31,2001-12-24,AAMRQ
2001-12-31,2001-12-24,ABKFQ
2001-12-31,2001-12-24,BF.B
2001-12-31,2001-12-24,CCTYQ
2001-12-31,2001-12-24,COC.B
2001-12-31,2001-12-24,CPNLQ
2001-12-31,2001-12-24,DALRQ
2001-12-31,2001-12-24,DCNAQ
2001-12-31,2001-12-24,DPHIQ
2001-12-31,2001-12-24,EKDKQ
2001-12-31,2001-12-24,FMCC
2001-12-31,2001-12-24,FNMA
2001-12-31,2001-12-24,INCLF
2001-12-31,2001-12-24,LEHMQ
2001-12-31,2001-12-24,MTLQQ
2001-12-31,2001-12-24,RDS.A
2001-12-31,2001-12-24,RSHCQ
2001-12-31,2001-12-24,UAWGQ
2001-12-31,2001-12-24,VSTNQ
2001-12-31,2001-12-24,WAMUQ
2001-12-31,2001-12-24,WCOEQ
2001-12-31,2001-12-24,WNDXQ
2002-01-31,2002-01-31,AABA
2002-01-31,2002-01-31,AAMRQ
2002-01-31,2002-01-31,ABKFQ
2002-01-31,2002-01-31,BF.B
2002-01-31,2002-01-31,CCTYQ
2002-01-31,2002-01-31,COC.B
2002-01-31,2002-01-31,CPNLQ
2002-01-31,2002-01-31,DALRQ
2002-01-31,2002-01-31,DCNAQ
2002-01-31,2002-01-31,DPHIQ
2002-01-31,2002-01-31,EKDKQ
2002-01-31,2002-01-31,FMCC
2002-01-31,2002-01-31,FNMA
2002-01-31,2002-01-31,INCLF
2002-01-31,2002-01-31,LEHMQ
2002-01-31,2002-01-31,MTLQQ
2002-01-31,2002-01-31,RDS.A
2002-01-31,2002-01-31,RSHCQ
2002-01-31,2002-01-31,UAWGQ
2002-01-31,2002-01-31,VSTNQ
2002-01-31,2002-01-31,WAMUQ
2002-01-31,2002-01-31,WCOEQ
2002-01-31,2002-01-31,WNDXQ
2002-02-28,2002-02-26,AABA
2002-02-28,2002-02-26,AAMRQ
2002-02-28,2002-02-26,ABKFQ
2002-02-28,2002-02-26,BF.B
2002-02-28,2002-02-26,CCTYQ
2002-02-28,2002-02-26,COC.B
2002-02-28,2002-02-26,CPNLQ
2002-02-28,2002-02-26,DALRQ
2002-02-28,2002-02-26,DCNAQ
2002-02-28,2002-02-26,DPHIQ
2002-02-28,2002-02-26,EKDKQ
2002-02-28,2002-02-26,FMCC
2002-02-28,2002-02-26,FNMA
2002-02-28,2002-02-26,INCLF
2002-02-28,2002-02-26,LEHMQ
2002-02-28,2002-02-26,MTLQQ
2002-02-28,2002-02-26,RDS.A
